YEAR,Result,Position,PLAYER_NAME,Team
2015,Third Team,G,Kyrie Irving,Cleveland Cavaliers
2016,First Team,F,LeBron James,Cleveland Cavaliers
2016,First Team,F,Anthony Davis,New Orleans Pelicans
2016,First Team,C,Marc Gasol,Memphis Grizzlies
2016,First Team,G,Stephen Curry,Golden State Warriors
2016,First Team,G,James Harden,Houston Rockets
2016,Second Team,F,LaMarcus Aldridge,Portland Trail Blazers
2016,Second Team,F,DeMarcus Cousins,Sacramento Kings
2016,Second Team,C,Pau Gasol,Chicago Bulls
2016,Second Team,G,Russell Westbrook,Oklahoma City Thunder
2016,Second Team,G,Chris Paul,LA Clippers
2016,Third Team,F,Blake Griffin,LA Clippers
2016,Third Team,F,Tim Duncan,San Antonio Spurs
2016,Third Team,C,DeAndre Jordan,LA Clippers
2016,Third Team,G,Klay Thompson,Golden State Warriors
2016,Third Team,G,Kyrie Irving,Cleveland Cavaliers
2017,First Team,F,LeBron James,Cleveland Cavaliers
2017,First Team,F,Anthony Davis,New Orleans Pelicans
2017,First Team,C,Marc Gasol,Memphis Grizzlies
2017,First Team,G,Stephen Curry,Golden State Warriors
2017,First Team,G,James Harden,Houston Rockets
2017,Second Team,F,LaMarcus Aldridge,Portland Trail Blazers
2017,Second Team,F,DeMarcus Cousins,Sacramento Kings
2017,Second Team,C,Pau Gasol,Chicago Bulls
2017,Second Team,G,Russell Westbrook,Oklahoma City Thunder
2017,Second Team,G,Chris Paul,LA Clippers
2017,Third Team,F,Blake Griffin,LA Clippers
2017,Third Team,F,Tim Duncan,San Antonio Spurs
2017,Third Team,C,DeAndre Jordan,LA Clippers
2017,Third Team,G,Klay Thompson,Golden State Warriors
2017,Third Team,G,Kyrie Irving,Cleveland Cavaliers
2018,First Team,F,LeBron James,Cleveland Cavaliers
2018,First Team,F,Anthony Davis,New Orleans Pelicans
2018,First Team,C,Marc Gasol,Memphis Grizzlies
2018,First Team,G,Stephen Curry,Golden State Warriors
2018,First Team,G,James Harden,Houston Rockets
2018,Second Team,F,LaMarcus Aldridge,Portland Trail Blazers
2018,Second Team,F,DeMarcus Cousins,Sacramento Kings
